product_id,title,rating,initial_price,discount,final_price,seller_name,category,discount_amount,total_amount
19014828,mothercare,4.5,2999,25.0,2249.0,Kap███s R███il █████████,jackets,750.0,2249.0
19015652,U.S. Polo Assn. Kids,4.2,2799,46.0,1511.0,ARV███ LI███TYL█████████LIM██████,jackets,1288.0,1511.0
19020536,U.S. Polo Assn.,4.1,6999,50.0,3499.0,ARV███ LI███TYL█████████LIM██████,jackets,3500.0,3499.0
19020616,U.S. Polo Assn.,4.3,6299,30.0,3149.0,ARV███ LI███TYL█████████LIM██████,jackets,3150.0,3149.0
19020478,U.S. Polo Assn.,4.3,4599,40.0,2759.0,Sup███om ███,jackets,1840.0,2759.0
19837040,High Star,4.1,3749,85.0,3749.0,Unknown,jackets,0.0,3749.0
14991614,Roadster,4.2,1699,50.0,509.0,GAR███CRY███S L█████████,jackets,1190.0,509.0
16182066,People,4.3,1799,48.0,935.0,Wes███ry ███din█████████d_P████████████,jackets,864.0,935.0
19231126,Mast & Harbour,4.2,4499,68.0,1439.0,Tru███m R███il,jackets,3060.0,1439.0
19020564,U.S. Polo Assn.,4.3,5299,50.0,2649.0,ARV███ LI███TYL█████████LIM██████,jackets,2650.0,2649.0
19015534,U.S. Polo Assn. Kids,4.1,2499,36.0,1599.0,ARV███ LI███TYL█████████LIM██████,jackets,900.0,1599.0
19020450,U.S. Polo Assn.,4.3,6499,40.0,3249.0,ARV███ LI███TYL█████████LIM██████,jackets,3250.0,3249.0
19020676,U.S. Polo Assn.,4.6,5699,45.0,3134.0,ARV███ LI███TYL█████████LIM██████,jackets,2565.0,3134.0
19020568,U.S. Polo Assn.,4.2,6999,40.0,4199.0,Sup███om ███,jackets,2800.0,4199.0
18973692,Levis,4.2,4099,57.0,4099.0,Vis███ St███,jeans,0.0,4099.0
18973742,Levis,4.2,4399,48.0,2287.0,Lev███tra███ In█████████td,jeans,2112.0,2287.0
18974084,Levis,4.2,4399,57.0,1891.0,Lev███tra███ In█████████td,jeans,2508.0,1891.0
18973648,Levis,4.2,4099,0.0,4099.0,Lev███tra███ In█████████td,jeans,0.0,4099.0
18973888,Levis,4.4,4099,0.0,4099.0,Vis███ St███,jeans,0.0,4099.0
18973730,Levis,4.1,4399,49.0,4399.0,Vis███ St███,jeans,0.0,4399.0
19008496,Calvin Klein Jeans,5.0,7999,40.0,4799.0,Pla███um ███hio███,jeans,3200.0,4799.0
18992754,AMERICAN EAGLE OUTFITTERS,4.8,4499,60.0,1799.0,Wes███ry ███din█████████d_M██████,jeans,2700.0,1799.0
18973922,Levis,4.1,4099,0.0,4099.0,Vis███ St███,jeans,0.0,4099.0
18973950,Levis,4.1,4999,51.0,2449.0,Lev███tra███ In█████████td,jeans,2550.0,2449.0
19842706,Llak Jeans,4.2,2299,75.0,2299.0,Unknown,jeans,0.0,2299.0
13768634,Nautica,4.6,4999,0.0,4999.0,Unknown,jeans,0.0,4999.0
18973728,Levis,4.4,4399,47.0,4399.0,Vis███ St███,jeans,0.0,4399.0
